Conflict of interest	10
Confusion and diffusion	3
Congruence	10
Conservation (art)	12
Consonant mutation	11
Consortium	8
Conspiracy (criminal)	0
Constitutional economics	10
Constitutional law	0
Constructivism	0
Consumer price index	3
Consumer protection	4
Consummation of marriage	8
Contactor	5
Contemporary architecture	0
Contempt of court	0
Content Scramble System	2
Contract	0
Contrail	13
Contribution claim	0
Controlled burn	12
Convex set	1
Copaganda	8
Corbel	9
Corium	7
Coronagraph	3
Corporal punishment	0
Cortana	3
Costume	8
Coulomb's law	0
Counselor	12
Counterpoint	10
Country code	3
Court order	0
Crackme	6
Crayola	4
Crayon	10
Creating	12
Creative writing	8
Credit Suisse	4
Credo Reference	4
Creepypasta	3
Crew	8
Criminal law	0
Criminal procedure	0
Crop	13
Crop protection	13
Crop rotation	13
Cross section (geometry)	1
Cross-platform	6
CrossOver	6
Cryovolcano	9
Crypsis	12
Cryptographic hash function	3
Cryptographic protocol	6
Cryptography	2
Cryptosystem	10
Crystal	7
Crystallography	10
Cuban art	9
Cuffs	9
Cultured meat	10
Curfew	8
Current transformer	5
Cursor	6
Curve	1
Cutaway	6
Cyberstalking	6
Cypher	2
D-Back	6
DES-X	2
DMOZ	6
DStv	3
Dadeumi	10
Damages	0
Dansbandskampen	6
Dark web	6
Dark-sky preserve	10
Data Base Task Group	11
Data Encryption Standard	2
Dave (TV)	3
Daxx	6
De minimis	0
Death grunt	8
Debugging	6
Decadence	10
Decision-making	12
Declension	10
Declination	1
Decode Entertainment	4
Deconstruction	10
Decriminalization	0
Dedication	9
Deep Web	6
Defence against herbivory	13
Defence against predators	13
Defense (legal)	0
Deficit spending	10
Degenerate art	0
Demersal	13
Demo (software)	6
Denial	10
Denuvo	6
Deportation	8
Depression (mood)	12
Derealization	12
Derivative (finance)	10
Derogation	0
Desert ecology	13
Desiccation	10
Desktop environment	6
Deterrence (legal)	0
Dharmaśāstra	9
Diagonal	10
Dial-up	6
Dialect	11
Dialect continuum	8
Diameter	1
Diaper	8
Dick Figures	9
Dictionary attack	2
Diesel generator	5
Differential cryptanalysis	2
Differential geometry	10
Diffie-Hellman key exchange	2
DigiCel FlipBook	6
Digital Economy Act 2010	0
Digital Millennium Copyright Act	0
Digital signature	3
Digital television	3
Digital television transition	3
Diglossia	11
Dilation (geometry)	1
Dimension	10
Diphthong	10
Diptych	9
DirecTV	4
Direct current	5
Disconnecting switch	5
Discord (software)	6
Disk partition	6
Displacement (psychology)	10
Displacement vector	1
Disposable and discretionary income	3
Dissenting opinion	0
Dissociation (psychology)	12
Dissociative identity disorder	12
Distributed generation	5
Distributed revision control	6
Distribution board	5
Document Object Model	3
Documenta	9
Domain Name System	6
Domain hack	6
Domestic partnership	8
Domestication	13
Dominance (ethology)	13
Door god	9
Double helix	10
Dow Chemical	4
Download	6
Drainage	13
Drawing	10
Dream	12
Dream Market	3
Dress clothes	8
Dress code	8
Driver's license	8
Drum and bugle corps	9
Drumhead court-martial	10
Dry cleaning	7
Due process	0
Duel	0
Duet	10
Duty to rescue	0
Duverger's law	0
Dynamic-link library	6
E. B. Ford	12
EFF DES cracker	2
ELIZA	10
ESTREAM	3
EasyBCD	6
Eating disorder	12
Ecclesiastical court	0
Ecohydrology	13
Ecological economics	12
Ecological genetics	12
Ecological niche	12
Ecological succession	12
Ecological yield	13
Ecology	12
Ecosystem services	12
Eddy current	5
Edge effect	3
Edge effects (ecology)	12
Education Loan Finance	4
Ego depletion	8
Egocentrism	12
Elder abuse	12
Electric arc	5
Electric charge	7
Electric current	5
Electric match	5
Electric potential	5
Electric power	5
Electric power distribution	5
Electric power transmission	5
Electric switchboard	5
Electrical cell	5
Electrical circuit	5
Electrical conductivity	5
Electrical enclosure	5
Electrical energy	5
Electrical engineering	5
Electrical filament	3
Electrical generator	5
Electrical grid	5
Electrical impedance	5
Electrical machine	5
Electrical resistance	5
Electrical substation	5
Electricity	5
Electricity meter	5
Electrocution	5
Electrocyclic reaction	7
Electrode	5
Electroluminescence	5
Electrolysis of water	7
Electrolyte	7
Electron affinity	7
Electron configuration	7
Electron crystallography	7
Electronic signature	3
Electronic system	3
Electrostatics	5
Elliptic curve	1
Elu (Portuguese pronoun)	10
Embodiment theory	12
Emotional intelligence	12
Empathy	10
Empty Homes Tax	10
Emulator	6
Enciclopedia d'arte italiana	3
Encryption	2
Endangered language	11
English law	0
Enigma machine	3
Ensemble	11
Enterprise Java Beans	3
Entrapment	8
Entten tentten teelikamentten	9
Environmental chemistry	7
Environmental impact of aviation	3
Environmental revitalization	13
Epic of Gilgamesh	9
Episode	3
Equal justice under law	0
Equality (mathematics)	10
Erikson's stages of psychosocial development	12
Estate (law)	0
Ethereum	8
Etymology	11
Euclidean distance	1
Euclidean geometry	10
Euclidean space	1
Euthanasia Coaster	9
Evapotranspiration	13
Event-driven programming	6
Everyday (video)	9
Everything as a service	6
Evidence	10
Ex post facto law	0
Exact (company)	6
Excitation (magnetic)	5
Executive order	0
Exede	4
Exor	4
Extinction (astronomy)	3
Extortion	0
Extragalactic astronomy	10
Extrajudicial killing	0
Extranet	4
Extraterrestrial sky	10
Eye Movement Desensitization and Reprocessing	12
FATCA agreement between Canada and the United States	0
FTP	6
Factoring (finance)	4
Fallingwater	9
False confession	0
False consensus	12
Famine	12
Faraday cage	5
Faraday's laws of electrolysis	0
Farming	13
Fauna	12
FeedDemon	6
Feeling Good: The New Mood Therapy	9
Feistel cipher	2
Fernsehturm	3
Ferroelectricity	5
Fertilizer	13
Figure of speech	10
File extension	6
File hosting service	6
File sharing	6
FileZilla	6
Filter (internet)	6
Filter feeder	13
Final Cut Pro X	6
Finance	8
Financial District	3
Financial Services Authority	4
Financial Stability Board	4
Financial capital	12
Financial market	10
Financial regulation	4
Financial technology	4
Firewall (networking)	6
First language	11
Fixppo	6
Flame test	7
Flash point	7
Flashback	10
Flatland	9
Flexagon	10
Flight number	3
Flight recorder	3
Floor plan	8
Flora	13
Flotation	7
Flow (psychology)	10
Fluoridation	13
Flyby (spaceflight)	1
Flying Spaghetti Monster	9
Flyover	8
Folder (computing)	6
Folio	3
Folk punk	3
Fomalhaut b	3
Food chain	13
Food coloring	13
Food web	13
Foreshadowing	10
Forgetting curve	12
Fork (software development)	6
Form	10
Foster care	0
Four temperaments	12
Fractional distillation	7
Fractionating column	1
Free and open-source software	6
Free radical	12
Free software movement	6
FreeOTFE	6
Freeware	6
French touch	3
Freud's psychoanalytic theories	12
FrostWire	6
Frustration	13
Fundamental attribution error	12
Fundraising	10
Furry	9
Futures contract	0
GParted	6
Gaia hypothesis	12
Galactic halo	9
Galactic quadrant	3
Galvanometer	5
Game engine	3
Gargoyle	13
Garlic production in China	3
Garnishment	3
Gaslighting	8
Gaston Bussière (painter)	9
Gel electrophoresis	5
Gender dysphoria	12
General American	9
General Data Protection Regulation	0
Genetically modified food	13
Geo (microformat)	3
Geocentrism	9
Geodesic	10
Geoglyph	8
Geometry	10
German automobile number plates	8
Gesamtkunstwerk	10
Gestalt therapy	12
Ghana National Farmers' Day	13
Ghillie suit	10
Gibberish	11
Girth	4
Glide (API)	1
Glyphosate	13
Godwin's law	0
Going Solo	9
Golden Eagle Award	3
Google Drive	6
Google I/O	6
Google Maps (application)	6
Gopher (protocol)	6
Gowling WLG	0
Grain elevator	9
Gramme machine	5
Grand jury	0
Graphical projection	1
Graveyard slot	4
Great Lakes	13
Green manure	13
Green roof	13
Greenhouse effect	12
Grime (music)	3
Gross indecency	0
Guilded	6
Guilt (law)	0
H.264/MPEG-4 AVC	3
HCard	4
HM Treasury	3
HTML	6
HTTP 404	6
HTTP cookie	6
Habeas corpus	0
Halakha	11
Half-space (geometry)	1
Hall church	9
Hallucination	12
Haltlose personality disorder	12
Ham sandwich theorem	10
Hanging Houses of Cuenca	9
Hardiness zone	13
Harlem Renaissance	9
Harm	12
Harmonia Macrocosmica	9
Harvest	13
Hay	13
Hazard	10
Heat lightning	9
Heavy metals	7
Hedge	13
Hedge fund	4
Hellenistic art	9
Hello world program	6
Herbicide	13
Herbivore	13
Herding	13
Heterotroph	7
Hex editor	6
Hick's law	0
High-definition video	3
High-voltage direct current	5
HighBeam Research	3
Highly sensitive person	12
Hijan Hirao	9
Hinglish	11
Historical novel	9
Hiyang Hiren	9
Hiʻiaka (moon)	9
Holding company	4
Home directory	6
Homograph	10
Homophone	10
Hong Kong national security law	0
Hook (music)	6
Horizontal	10
Horror story	9
Horticulture	13
Hostname	6
Hotspot (computers)	3
Hotsuit	8
Hubble Extreme Deep Field	3
Human nature	12
Human powered aircraft	3
Humus	13
Hydration	7
Hydrogen economy	3
Hydrogenation	7
Hydrolysis	7
Hydron	7
Hydrophobe	7
Hydroponics	13
Hydroxide	7
Hyperbolic geometry	10
Hyperplane	1
Hypertext Transfer Protocol	6
Hypervisor	6
Hypnosis	10
Hypostatic model of personality	12
Hypostyle	0
Hypotenuse	1
IC50	10
ICANN	3
IEC 61850	3
INTLAB	6
IP address	6
IPsec	6
IRC bot	6
IZarc	6
Icon	10
Id, ego, and super-ego	12
Ideal gas	9
Idiot	10
Illegal logging	0
Imagination	12
Imagine (3D modeling software)	6
Immovable property	0
Impartiality	0
Impossible object	10
Imposter syndrome	12
Impresario	11
Impressionist music	6
Improper rotation	1
Impurity	13
Incest	0
Independent Power Producer	5
Indian Act	9
Indian Penal Code	0
Indian passport	0
Individual retirement account	3
Industrial relations	3
Inflection point	1
Infobot	6
Information leakage	6
Infrared	10
Infrastructure	13
Initial public offering	4
Injunction	0
Inorganic chemistry	7
Insanity defense	0
Insecticide	13
Insider trading	4
Instaknow Software	6
Installation (computer programs)	6
Instinct	12
Instrumental	6
Insulator (electricity)	5
Integrated development environment	6
Integrated pest management	13
Intellectual disability	12
Intensive farming	13
Intercropping	13
Interest rate	8
Interlanguage fossilization	11
Interlinear text	10
Intermolecular force	7
International Air Transport Association	3
International Art Society & Academy	0
International Association of Aviation Personnel Schools	3
International Auxiliary Language Association	11
International Bank Account Number	4
International Clarinet Association	3
International Data Encryption Algorithm	2
International Fertilizer Development Center	3
International Food Policy Research Institute	3
International Music Score Library Project	6
International Union of Architects	3
International Union of Pure and Applied Chemistry	7
Internet	6
Internet Key Exchange	2
Internet Movie Database	6
Internet leak	6
Internet safety	6
Interplanetary internet	6
Interpreter (computing)	6
Interstellar medium	7
Interstellar travel	3
Intolerable Acts	0
Intranet	6
Introversion and extraversion	12
Invasive species	12
Inverter	5
Investment	10
Invitee	0
Iodine test	7
Ion	5
Ion exchange chromatography	7
Ionic compound	7
Ionization energy	7
Irrigation	13
Islamic geometric patterns	10
Islamophobia	10
Isolation for the purpose of abuse	8
Isomerization	7
Isometry	10
Israel Broadcasting Authority	3
Italian car number plates	10
Iwan	0
Izmailovo Kremlin	3
Jacques Necker	3
James Lovelock	10
Jane's Walk	3
JavaScript	11
Jet fuel	10
Jiizas: di Buk We Luuk Rait bout Im	9
Job Control Language	3
Job satisfaction	9
John Doe	0
Johnny Castaway	6
Joule's laws	5
Judgment	10
Judgment (law)	0
Judicial activism	0
Judicial opinion	0
Judicial review	0
Judiciary	0
Jure uxoris	10
Jurisdiction	0
Jurisprudence	0
Justice	0
Justice of the peace	0
Kabulig Bikol	9
Kepler's Laws	3
Kerberos (protocol)	6
Kerckhoffs's principle	0
Key (cryptography)	2
Key derivation function	2
Key distribution center	2
Key exchange	2
Key generation	2
Key schedule	2
Key size	2
Key space	2
Key whitening	2
Key-agreement protocol	2
Keystone species	12
Keystream	2
Khamba Thoibi	9
Khongjomnubi Nongarol	9
Kibbutz	10
Kilt	8
Kirchhoff's circuit laws	5
Klein bottle	10
Kleksography	10
Knowledge Graph	6
Knowledge of results	12
Known-plaintext attack	2
Kohlberg Kravis Roberts	4
Konthoujam Nongarol	9
Kyivan Rus Park	3
Kübler-Ross model	9
LA Law Library	0
LEED	9
LOT Polish Airlines Flight 16	3
La vida de Lazarillo de Tormes	9
Laboratory techniques	9
Laienspiegel	0
Landing zone	9
Landscape	12
Landscape architecture	0
Landscape urbanism	9
Language	11
Language attrition	11
Language border	11
Language death	11
Language revival	11
Language transfer	11
Languages of Russia	11
Lanyard	8
Late night television	4
Latex clothing	8
Laundry	8
Law	0
Law firm	0
Law of Azerbaijan	0
Law of the Minimum	0
Law of the land	0
Law review	0
Law school	0
Lawsuit	0
Le Chatelier's principle	7
Learner's permit	8
Learning by teaching	10
Least concern	12
Lect	11
Leet	11
Legacy	0
Legal burden of proof	0
Legal case	0
Legal clinic	0
Legal code	0
Legal entity	0
Legal liability	0
Legal opinion	0
Legal precedent	0
Legal proceeding	0
Legal process	0
Legislation	0
Legitimacy	10
Leima Jagoi	10
Leotard	8
Lessepsian migration	13
Letters patent	0
Lewis acid	7
Lexeme	10
Leyden jar	5
Libido	8
License	8
Lien	0
Lift (force)	10
Light curve	10
Lightning rod	3
Lightning strike	5
Lime kiln	7
LimeWire	6
Line	1
Line segment	1
Linear cryptanalysis	2
Lineman (technician)	9
Lionel Guérin	3
Lipid	7
List of BitTorrent clients	6
List of best-selling singles	3
List of national airlines	3
List of number-one singles of 2021 (Finland)	3
Literary term	10
Literature	9
Loanword	11
LockWiper	3
Lockman Hole	10
Locus (mathematics)	1
Loebner prize	10
Lorenz cipher	3
Loudness war	9
Low voltage ride through	5
Luftfahrtgesellschaft Walter	3
Luminous intensity	3
Lunatic	0
Lungi	8
Luthier	10
Lycos	6
MQV	2
MU*	3
MacGuffin (cipher)	2
Machine translation	6
Magical thinking	12
Magna Carta	0
Magnetic reluctance	5
Magnitude (astronomy)	1
Magnum opus	11
Magua (clothing)	8
Maibi Jagoi	10
Maillard reaction	7
Malayo-Polynesian languages	11
Management buyout	4
Mannerism	9
Manure	13
Maple (CAS)	6
Maps.me	3
Marathon Media Group	4
Marine reserve	13
Marker	8
Market town	10
Mask	8
Maslow's hierarchy of needs	12
Mass hysteria	8
Mass number	7
Mastic	10
Maxi single	3
Maya calendar	10
Mazaron ke phool	9
Medal of Aeronautics	3
Media player	6
Mediacom	4
Medical cannabis	0
Medusa with the Head of Perseus	8
Meessen De Clercq	0
Meet-in-the-middle attack	2
Meitei architecture	0
Memorandum opinion	0
Memorial	8
Memory leak	6
Memrise	6
Merchet	3
Messerschmitt	1
Metallurgy	7
Metonic cycle	10
Metromedia Square	3
Metronome	8
Mexicanal	3
Micro-Hydropower	5
Microatoll	13
Microbial mat	13
Microblog	10
Microcredit	8
Microfinance	8
Microformat	6
Milgram experiment	10
Military camouflage	8
Milk Marketing Board	3
Mimicry	12
Mind	12
Mind control	12
Mindset	12
Mini-skirt	8
Minor (law)	0
Minute	10
Mitigating circumstances	9
Mixotroph	8
Mobile app	6
Mod Archive	6
Model (person)	3
Modern language	11
Modernism	9
Modernist literature	9
Modesty	8
Moirang Sai	9
Mole (unit)	7
Monoculture	13
Monologue	10
Monophthong	11
Monte dei Paschi di Siena	4
Moon landing	9
Morality	9
Morgan Stanley Wealth Management	4
Moroccan architecture	0
Mosaic	10
Motif	0
Motivation	12
Motor soft starter	5
Motor–generator	5
Mozilla Thunderbird	6
Muff	8
Multialphabetism	10
Music of Africa	3
Music session	6
Music stand	6
Musicology	6
Mutual fund	8
Mutual intelligibility	11
My Computer	6
My Grandfather's Clock	9
Myco-heterotrophy	13
Myers-Briggs Type Indicator	8
Möbius strip	1
N (Poland)	4
NATO phonetic alphabet	10
NBC Studios (New York City)	4
NTFS	6
Nadir	1
Naked eye	3
Name tag	8
Naming rights	4
Napoleonic Code	0
Narcissism	9
Narcissistic parent	9
National Association of Broadcasters	3
National Building Museum	0
National Center for Missing & Exploited Children	3
National memorial	8
Native (ecology)	12
Native speaker	11
Natural capital	12
Natural language	11
Natural person	0
Naturalism (literature)	9
Nature's services	12
Naval Aviation	3
Need	12
Needham-Schroeder protocol	6
Negligence	0
Neilsen rating	4
Neoclassicism music	3
Neologism	10
Neopronoun	10
Nernst equation	3
Net Nanny	6
Net neutrality	6
NetBackup	6
Network Functions Virtualization	6
Network address translation	6
Neusis construction	10
Next of kin	0
Nightmare	12
Nitrogen cycle	13
Nitrogen fixation	13
Nmap	6
No man's land	13
Noble gas compound	7
Noli me tangere	9
Non-Euclidean geometry	10
Non-fungible token	10
Non-renewable resource	12
Normal (geometry)	1
Norton AntiVirus	6
Not proven	0
Notary	0
Notes from the psychoanalysis of Knut Hamsun	9
Novella	9
Nuclear chemistry	7
Nuremberg principles	0
Nursery (horticulture)	3
Nutrient	13
OEM	6
Obfuscation	10
Objectification	9
Obstruction of justice	8
Octane rating	10
Octet rule	7
Octopus card	3
Odor	7
Offshore investment	8
Ohka	9
Ohm's law	5
One-line diagram	5
One-time pad	2
One-way function	3
Oneirology	12
Online and offline	6
Online shopping	6
Open content	8
Open source	6
OpenNIC	6
OpenVPN	3
Operant conditioning	12
Operating reserve	5
Operation Yellow Ribbon	3
Optical illusion	12
Options Clearing Corporation	4
Orbital revolution	9
Orchard	13
Organic chemistry	7
Organic farms	13
Organotroph	7
Orientability	10
Origin story	9
Orthographic depth	11
Orthographic projection	1
Orthography	11
Otherkin	12
Outsider art	0
Over-harvesting	13
Overcoat	8
Overfishing	13
Overpopulation	12
Overvoltage	5
Ox Mountain	9
PC bang	6
PH	7
POST (HTTP)	6
PSU Zephyrus	3
Pacific Northwest tree octopus	6
Package management system	6
Padded cell	8
Padding (cryptography)	3
Paddy field	13
Page-turner	6
PageCloud	6
Pairwise comparison	12
Pajamas	8
Pakistani nationality law	0
Pakistani passport	0
Palau Language Commission	11
Palau de les Belles Arts	3
Palm oil	9
Pangram	11
Panthoibi Jagoi	10
Panthoibi Khongul	9
Paparazzi Project	3
Parable	9
Paraffin	7
Parallel (geometry)	1
Parallel postulate	10
Parasomnia	9
Pareidolia	10
Parental advisory	9
Parliamentary procedure	8
Partial discharge	5
Particle	7
Particle size (general)	10
Partition editor	6
Partition table	6
Partnership of a European Group of Aeronautics and Space Universities	3
Party (law)	0
Passion cantata	10
Passive-aggressive behaviour	12
Password	3
Pastel	10
Pasties	8
Pasture	8
Patch	8
Patina	10
Patronage	10
Pattern language	10
Pavillon de l'Arsenal	0
PayPal	6
Payment	4
Peabody Award	3
Peaking power plant	5
Peer pressure	12
Peer-to-peer file sharing	6
Pelagic zone	9
Penjing	13
Pennsylvania Bar Association	0
Penthouse	9
People's Bank (Sri Lanka)	4
Per curiam decision	0
Percent-encoding	6
Perfectionism	12
Perimeter	10
Period (periodic table)	7
Permit	8
Permutation box	2
Persian architecture	0
Perspective (graphical)	10
Persuasion	12
Petition	10
Petrochemical	13
Petroleum product	7
Pharmaceutical chemistry	7
Phase change	7
Phoenician language	11
Phoneme	11
Phonetics	10
Photocatalysis	7
Photochemistry	7
Photodissociation	7
Photoflash capacitor	5
Photometry (astronomy)	10
Photomontage	3
Photosphere	3
Phototroph	7
PhpBB	6
Physical abuse	10
Physical chemistry	7
Physical unclonable function	3
Pi	10
Picture frame	9
Pidgin (software)	6
Pietra dura	10
Piezoelectricity	5
Pillar tomb	8
Pin stripes	3
Pipelight	6
Pixelization	3
Plagiarism	0
Plaintext	2
Plan view	1
Planetary science	3
Planform	1
Planisphere	1
Plankton	9
Plant breeding	13
Plant cutting	13
Plantation	13
Play therapy	9
Pleading	0
Plural ignorance	10
Poet	11
Poincaré conjecture	10
Point (geometry)	10
Point of view (philosophy)	12
Poireiton Khunthok	9
Police	8
Police state	8
Political freedom	10
Pollinator	13
Pollutant	13
Polsat Box	4
Polymorphism	12
Popular science	10
Port forwarding	6
Port scanner	6
Portfolio management	12
Portrait	8
Portuguese alphabet	11
Possession	0
Postmodernism	0
Potato blight	13
Power consumption	5
Power cut	5
Power factor	5
Power station	5
Power supply unit	5
Power system harmonics	5
Power system protection	5
Pre-shared key	2
Precision Approach Path Indicator	1
Predator-prey equations	12
Premium economy	4
Prequel	9
Presentation software	6
Presidential portrait (United States)	3
Presumption of innocence	0
Pretty Good Privacy	6
Preview	6
Primary and secondary legislation	0
Primary production	13
Primatologist	12
Primetime	3
Primogeniture	0
Privacy	0
Private bill	0
Private equity	4
Private network	6
Pro-choice	0
Probate	0
Product (chemistry)	7
Product cipher	2
Profiling	10
Programme music	6
Project Athena	6
Promise	0
Proof-of-work system	9
Propaganda	10
Propeller	9
Property law	0
Property tax	10
Proprietary software	6
Protected area	13
Protecting Children from Internet Pornographers Act	0
Protologism	11
Protonation	7
Protractor	3
Provenance	10
Proverb	9
Proxy server	6
Psyche (psychology)	12
Psychoanalysis	12
Psychological abuse	12
Psychological nativism	12
Psychological test	9
Psychological trauma	12
Psychological warfare	10
Psychology	12
Psychometrics	12
Psychoneuroimmunology	12
Psychopathology	12
Public figure	0
Public interest	10
Public journal	0
Public speaking	10
Public-key cryptography	2
Punitive damages	0
Puppet (software)	6
PyMOL	11
Pygmalion effect	12
